Structure ID,SMILES
X404-223-1421,O=C1CC2=C(N1)C=C(NC(C=C3)=CC=C3N[C@@H]4CN(C(C5=CC(NCCO)=CC=C5)=O)C[C@@H]4C6=CN=CS6)C=C2
X404-133-8064,CCCC1=NC2=C(C(N1)=O)C=CC(NC3=C(F)C=C(C4=CC=C(C5=C4NN=C5)OC)C=C3F)=C2
X404-223-1462,CNC1=NC=NC2=C1CCN(C2)CC3=C(C4=C(C)N(CCC#N)C(C)=C4)C=C(SC5=CC=C(O)C=C5)C=C3
X404-135-1949,CC(C(C=CC=C1)=C1C(O2)=NN=C2C(C(C3CCCCC3)=NN4C5=NN=C(N5C)NCC6=CC=C(Cl)C=C6)=CC4=O)=O
X404-219-2456,O=C1C2=NC(CCC3(CC3)F)=CN2CCN1C4=NN=C(N4CC5=C6C=CC=CC6=CN=C5)C(F)(F)F
X404-135-0036,O=C1N(C(C2CC2)=O)N=CC(OCC3=C(NC4=NOC(C5=C6C=CC=CN6N=C5)=N4)C=CC(C)=C3)=C1C7CCOCC7
X404-135-2016,O=C(NC1=CC=C(C(F)(F)F)C=C1C2=C(C)N=C(N(CC3)CCC3(O)C)N=C2)NC4=CC=C(CCOC)N=C4
X404-223-6672,CNC1=C(C(C)(O)C)C(N2CCC[C@@H](C2)OC3=NC=C(C4=CC=CC=C4C)C=C3)=NN1
X404-223-10866,CC(NC1=NC(C2=NN=C3C(N4CCC[C@@](C5=CC=C(C=C5)CO)(C4)O)=CC=CN23)=CS1)C
X404-133-6064,COCC1=CSC(N2CCN3N=C(C=C3C2)NC4=CC=CC=C4Cl)=N1
X404-135-2456,CN(C1=NC2=C(CN(CC2)CC3CCN(CC3)S(C)(=O)=O)S1)C4=NC(C=C5F)=C(C=C5OC)N4
X404-135-2479,CC[C@@H]1CCC[C@H](N1C2=CC(N3C=C(C=N3)OC4=C(N5C(N6CCC(CC6)O)=NC7=C5C=CC=C7)C=CC=N4)=CC=C2)C(O)=O
X404-216-0669,CC1=NN=C(S1)C2=CC(NC3=CC(N4CCCC4=O)=C(C=C3F)N5CCO[C@H]([C@@H]5C#N)C)=CC=C2
X404-208-1766,C[C@H](C(F)(F)F)NC1=NC(C2=CC=C3NC(C=NC3=C2)=O)=NN1[C@@H]4CCNC4
X404-133-0167,COC1=C(NC2CCN(CC2)C3=NC(C)=CN=C3)C(F)=CC(C4=CC=C(C5=C4C=CN5)OC)=C1
X404-223-11593,CN(C1=NN(C2=CSC=N2)C(NCC3=CC=CC=C3N4CC5(C4)C[C@H](CO5)C(N)=O)=C1)C
X404-219-0927,[C@@H]1(CCNC1)C#CC2=NC=C(OC3=CC=CN=C3C4=NC=NO4)N=C2
X404-208-1309,CN1[C@@H](CCS1(=O)=O)CNC2=C(NC3=CC=C(N4N=CC=N4)N=C3)C=CC=C2
X404-208-2728,N#CC1=CC=C(C=C1)N2C(NC[C@H]2C3=NN=C4N3CCN(C5=NC=CN=C5C6CC6)C4)=O
X404-234-0753,COC1=NOC(C2=NNC=C2N(C)C[C@H]3CC[C@H](CC3)C4=NC=CC=C4)=C1
X404-133-0570,CC1=CC=C(C2=NC3=CN=C(C=C3N2C4CC(F)(C4)F)N[C@H]5CNC(N(C5)C)=O)C=C1
X404-208-3152,CN(C1=CC=C(C=C1N2C(C(C=NN3C)=C(C4=CC(CO)=NN4)C3=O)=CN=C2S(=O)(C5=CC=CC=C5)=O)F)C
X404-219-2015,CNC([C@H]1CCCC[C@@H]1NCC2=NNC(C3=CC(C4=CC=CN=C4)=NNC3=O)=C2)=O
X404-234-0313,CN(C[C@H]1CCOCCC1)C2=CNN=C2C3=NON=C3C
X404-234-1944,CC1=CC=C(C=C1)S(=O)(CC2=NC([C@H](NC3=NN(C=C3C4CCOCC4)C)C)=NO2)=O
X404-1769-0103,Cc1ccc(-c2cnc3nc(NCc4ccon4)[nH]c3c2)cc1CC1CCNCC1
X404-1769-0655,COc1ccccc1-c1cccc(N2CCC(CN(C)c3cc(C4(O)COC4)cc(=O)[nH]3)CC2)c1
X404-1769-3494,CN(C)c1c(Nc2ccc(S(=O)(=O)N3CCC(F)CC3)cc2)[nH]c2ccccc12
X404-1769-3011,O=C(CC(F)(F)F)Nc1nc(-c2c(N3CCN(CC4CC4)CC3)sc3ccccc23)no1
X404-1769-1627,Cc1cc(-n2cc(C[C@H](C)C(=O)O)c3nccnc32)cc(C2CC2)c1NC(=O)C[C@H]1CCNC1
X404-1769-3571,CN(CC1(C)CCC1)C(=O)CCn1cnc2c(C(=O)O)ncnc21
X404-1769-4280,CO[C@H]1CN(Cc2ccc(=O)n(-c3c(C)noc3C)c2)C[C@@H]1F
X404-1768-0001,FC(F)C1(CNc2cnoc2)CCN(c2ccc3c(c2)C[C@@H](Oc2cc(N4CCc5cccnc5C4)ccn2)CO3)CC1
X404-1768-6593,Cn1ccc(N[C@H](CCN)c2coc3ccc(NC4CCCCC4)cc23)n1
X404-1768-0722,COc1cc(-n2ccnc2Nc2ccncc2N2C[C@H](C3CCCC3)NC2=O)ccc1O
X404-1768-1481,CS(=O)(=O)c1ccc(-c2cc[nH]c(=O)c2C[C@H]2CCN(C(=O)c3nncs3)C2)cc1
X404-1768-3854,COCC1(Nc2nc(C)c(-c3nc(C)nc4sccc34)c([C@@H]3CCCN3)n2)CCCC1
X404-1768-3154,Cn1nc(Oc2cccc(-c3ccccc3C3COC3)c2)cc1CCO
X404-1768-2834,O=C(CC(F)(F)F)Nc1ncncc1-c1nn(C2CCC2)c2ccccc12
X404-1767-0002,Oc1cc(Cl)cc(-n2cc(Oc3cccc(NC4CCC4)c3)cn2)c1Cl
X404-1767-1147,O[C@@H](CNC1CCCC1)c1cc(-c2cccc(NCc3ccncc3)n2)n[nH]1
X404-1767-0220,COc1ccc(Oc2ccc(N3C[C@@H](C)[C@@H](N)C3)n3cncc23)c(Cl)c1
X404-1767-2533,CCC(C)(C)c1nc(-c2c(N(C)Nc3cc(F)cc(F)c3)sc3c2CCC3)no1
X404-1767-2293,N[C@@H](CO)Cn1ccnc1-c1nccc(C2=CCCCC2)n1
X404-1767-1670,O=C(O)CN1CCC[C@H]1C(=O)Nc1csc(Nc2cccc3[nH]ccc23)n1
X404-1769-2917,Cc1[nH]c(NC[C@H](Nc2ccc(F)cc2)c2ccc(F)cc2)nc(=O)c1C
X404-1766-2225,C[C@@](C1CCCC1)(O)CNC2=NN(CCCC3)C3=N2
X404-1766-0360,O=C(Nc1cc(CO)cnc1-c1nc2ccccn2n1)C1CCNCC1
X404-1766-0764,Cc1nc(N2CC[C@H](COC3(CO)CC3)C2=O)nc2c1CCC2
X404-1766-0001,O[C@@H](c1ccc(NCC2CC2)c(-c2cccc(Cl)c2)c1)c1c[nH]nn1
X404-1766-0908,COC1(c2nnc([C@H](C)C3CCN(c4ccnn4C)CC3)o2)CC1
X404-1766-2761,Cc1cc(-c2nc(=O)c3cc(N4CCC[C@@H](C(=O)O)C4)ccc3[nH]2)cc(C)c1O
X404-1766-1829,Oc1ccc(CNC2CN(c3nc(Nc4ccc([C@@H](O)C(F)(F)F)cc4)cs3)C2)cc1
X404-1765-6158,CC(C)[C@@](C)(CN)NC(=O)Nc1nc(-c2ccc(O)cc2)c2ccsc2n1
X404-1765-2441,Cn1c(N2CC[C@H](C(=O)NC3COC3)C2)nc(=O)c2ccccc21
X404-1765-2945,NC(=O)c1ccccc1N1CCn2c(nnc2Nc2ccccc2CO)C1
X404-1765-3286,CCNc1cc(-c2nccc(O)c2C)ccc1Cc1nc(C(=O)O)no1
X404-1765-0440,CC1(C)CN(C[C@@H](Nc2noc3ccccc23)c2c[nH]cn2)C1
X404-1765-0653,CCOC[C@@H]1CC(=O)N(c2cc(Cl)cc(-c3ncnc4ccsc34)c2)C1
X404-1765-1623,N#Cc1ccccc1C(=O)Nc1csc(N[C@H](C(=O)O)C2(C(F)(F)F)CCC2)n1
X404-1763-4916,Cn1cnc(C(=O)N2CCC(OC[C@H]3CCNCCO3)CC2)n1
X404-1763-2878,N[C@@H]1CCCN([C@@H](c2ccccc2)c2nnc(C(F)(F)F)o2)C1
X404-1763-4338,Cc1cccc(N2C[C@H](Nc3ccc(=O)n(C)c3)C[C@H]2C(=O)O)c1
X404-1767-4790,CCc1ccc(O)c([C@@H](C)Oc2cc3n(n2)CCN(c2ccc(C(=O)O)cc2)C3)c1
X404-1763-2737,CC(C)[C@H]1CCCN1c1nnc(C(=O)NC[C@H]2CC(F)(F)CN2)o1
X404-1763-3528,C[C@]1(F)C[C@H](NCc2cc(-c3cc(C(=O)O)no3)[nH]n2)C1
X404-1764-0248,Cc1ccc(N(c2ncc(-c3ccsc3)c(C)n2)C2CCN(c3cccc(Cl)c3)CC2)c(=O)[nH]1
X404-1762-2412,C[C@@H](N(CCC1=NC2=CC=CC=C2N1C3=NN=C(N3)C4CC4)C)C(O)=O
X404-1762-1236,C[C@@H](NCc1cncc2c1[nH]c(=O)n2C1CCOCC1)c1ccc(-c2cnccn2)s1
X404-1762-1239,C[C@@H](O)c1nc(NC(=O)CN2CC[C@H](C(=O)N3CCCCC3)C2)c2ccccn12
X404-1762-2518,CCN1N=NC=C1C2=NC=C([C@@H](CN3CCC(CC3)C4(CC4)O)O)N=C2
X404-1762-3779,C[C@@H](N1C(C2=NN=C(O2)[C@H]3CCCCO3)=NC4=CC=CC=C41)CC(F)F
X404-1762-5054,Cc1cccc(-n2cccc(-c3ccc([C@@H](OC(C)(F)F)C(N)=O)c(C)c3)c2=O)c1
X404-1762-1516,CC1=C(N(C2=NN=CC=C2)C[C@@H]3CNCCO3)C=C(NC4=C(F)C=CC=C4)C=C1
X404-1761-0534,Cc1ccc(Cc2cnoc2)c(-c2ccc(=O)n(-c3cc4c(nn3)CCN(CCO)C4)c2)c1
X404-1761-2168,O=C(O)[C@@H]1CCN(c2ccc3nc(C(F)(F)F)cc(-n4cccn4)c3c2)C[C@@H]1O
X404-1761-6535,COC1CCN(CC1)C(C2=NN(C3=C2CN(CC3)CC4=NC(C)=NC5=C4C=CC=C5)C[C@H](OC)C)=O
X404-1761-0006,O=C(C1=CN=C(C2=CN=C(C3=C2C=CN3)N4CCC5=C4C=CC(CC[C@@H]6CNCCC6)=C5)N=C1)O
X404-1761-3479,FC(F)(F)c1c(N2CCOCC2)cccc1N1CCn2nc(-c3ccccc3Cl)cc2C1
X404-1761-3491,COc1ccc(-n2ncc3c(C4CC4)cc(O[C@H]4C[C@@H](C)C4)nc32)nc1
